iter	Passed	Remaining
0	40	3991
1	86	4250
2	149	4827
3	224	5391
4	283	5384
5	334	5245
6	408	5420
7	468	5386
8	533	5396
9	634	5713
10	684	5542
11	753	5524
12	830	5557
13	892	5479
14	946	5361
15	1004	5275
16	1068	5218
17	1115	5081
18	1166	4971
19	1215	4860
20	1261	4747
21	1315	4665
22	1364	4566
23	1413	4474
24	1477	4433
25	1519	4323
26	1586	4290
27	1623	4174
28	1663	4073
29	1721	4017
30	1774	3948
31	1816	3861
32	1873	3804
33	1932	3750
34	1980	3678
35	2024	3599
36	2063	3513
37	2102	3430
38	2161	3381
39	2232	3348
40	2289	3295
41	2340	3232
42	2392	3171
43	2427	3089
44	2462	3010
45	2512	2949
46	2573	2902
47	2631	2850
48	2666	2775
49	2712	2712
50	2745	2637
51	2780	2566
52	2817	2498
53	2860	2437
54	2898	2371
55	2941	2310
56	2968	2239
57	2995	2169
58	3048	2118
59	3090	2060
60	3131	2002
61	3175	1946
62	3216	1889
63	3260	1833
64	3302	1778
65	3352	1727
66	3387	1668
67	3422	1610
68	3458	1553
69	3498	1499
70	3539	1445
71	3575	1390
72	3609	1335
73	3653	1283
74	3693	1231
75	3735	1179
76	3772	1126
77	3827	1079
78	3870	1028
79	3930	982
80	3970	931
81	4006	879
82	4046	828
83	4084	777
84	4131	729
85	4195	682
86	4261	636
87	4330	590
88	4368	539
89	4425	491
90	4473	442
91	4529	393
92	4567	343
93	4619	294
94	4679	246
95	4719	196
96	4757	147
97	4812	98
98	4867	49
99	4904	0
